iter	Passed	Remaining
282	1934	4900
283	1940	4891
284	1946	4882
285	1952	4873
286	1958	4865
287	1964	4857
288	1970	4847
289	1976	4839
290	1982	4830
291	1989	4823
292	1995	4814
293	2001	4806
294	2007	4797
295	2013	4788
296	2019	4779
297	2025	4770
298	2031	4761
299	2037	4753
300	2043	4745
301	2049	4736
302	2058	4734
303	2066	4730
304	2073	4723
305	2079	4716
306	2086	4708
307	2092	4701
308	2099	4694
309	2106	4687
310	2112	4680
311	2119	4673
312	2125	4664
313	2131	4657
314	2138	4649
315	2145	4644
316	2152	4636
317	2158	4628
318	2164	4620
319	2170	4612
320	2176	4603
321	2182	4595
322	2188	4586
323	2194	4578
324	2200	4569
325	2206	4561
326	2212	4554
327	2219	4546
328	2225	4538
329	2231	4529
330	2237	4521
331	2243	4513
332	2248	4504
333	2254	4495
334	2263	4492
335	2271	4487
336	2277	4480
337	2283	4472
338	2289	4464
339	2295	4455
340	2301	4448
341	2307	4440
342	2313	4432
343	2319	4423
344	2326	4416
345	2332	4408
346	2338	4400
347	2344	4391
348	2349	4383
349	2356	4375
350	2362	4367
351	2367	4358
352	2373	4350
353	2380	4343
354	2386	4335
355	2392	4327
356	2399	4322
357	2405	4314
358	2411	4306
359	2418	4298
360	2424	4291
361	2430	4283
362	2436	4275
363	2442	4268
364	2448	4259
365	2454	4251
366	2462	4247
367	2468	4240
368	2475	4232
369	2481	4225
370	2487	4217
371	2493	4209
372	2500	4203
373	2507	4196
374	2514	4190
375	2521	4183
376	2527	4176
377	2533	4169
378	2539	4161
379	2545	4153
380	2551	4145
381	2558	4138
382	2564	4131
383	2570	4122
384	2576	4115
385	2582	4107
386	2588	4100
387	2594	4092
388	2600	4084
389	2606	4076
390	2612	4068
391	2617	4060
392	2623	4052
393	2629	4044
394	2635	4037
395	2641	4029
396	2648	4022
397	2653	4013
398	2660	4006
399	2670	4005
400	2677	3999
401	2684	3992
402	2690	3985
403	2697	3978
404	2702	3970
405	2709	3963
406	2715	3956
407	2721	3948
408	2727	3941
409	2734	3934
410	2740	3927
411	2746	3919
412	2752	3912
413	2758	3904
414	2764	3897
415	2771	3890
416	2776	3882
417	2783	3875
418	2789	3867
419	2796	3861
420	2802	3853
421	2807	3846
422	2814	3838
423	2820	3831
424	2826	3824
425	2832	3817
426	2838	3809
427	2845	3803
428	2851	3795
429	2857	3788
430	2863	3780
431	2869	3773
432	2878	3769
433	2886	3764
434	2893	3758
435	2899	3751
436	2906	3744
437	2912	3737
438	2920	3731
439	2926	3725
440	2933	3717
441	2939	3710
442	2945	3703
443	2951	3696
444	2957	3688
445	2963	3681
446	2971	3676
447	2978	3669
448	2984	3662
449	2990	3654
450	2996	3647
451	3002	3639
452	3009	3633
453	3018	3629
454	3026	3624
455	3033	3619
456	3042	3614
457	3049	3609
458	3058	3604
459	3068	3601
460	3074	3594
461	3080	3587
462	3089	3583
463	3097	3578
464	3105	3572
465	3111	3565
466	3118	3558
467	3124	3551
468	3130	3544
469	3137	3537
470	3143	3530
471	3149	3522
472	3155	3515
473	3161	3508
474	3167	3500
475	3173	3493
476	3179	3486
477	3185	3479
478	3191	3471
479	3197	3464
480	3204	3457
481	3210	3450
482	3216	3442
483	3222	3435
484	3229	3428
485	3237	3423
486	3243	3416
487	3249	3409
488	3255	3401
489	3261	3394
490	3267	3387
491	3273	3380
492	3279	3372
493	3286	3366
494	3292	3358
495	3300	3353
496	3309	3348
497	3316	3342
498	3322	3335
499	3328	3328
500	3335	3322
501	3342	3315
502	3348	3308
503	3355	3301
504	3360	3294
505	3366	3287
506	3373	3279
507	3379	3272
508	3385	3265
509	3391	3258
510	3397	3251
511	3404	3244
512	3410	3237
513	3416	3230
514	3423	3223
515	3429	3216
516	3435	3209
517	3441	3202
518	3447	3194
519	3453	3187
520	3459	3180
521	3465	3173
522	3471	3166
523	3477	3159
524	3483	3152
525	3489	3144
526	3495	3137
527	3501	3130
528	3508	3123
529	3516	3118
530	3523	3111
531	3529	3104
532	3535	3098
533	3542	3091
534	3548	3084
535	3554	3077
536	3560	3069
537	3566	3062
538	3572	3055
539	3578	3048
540	3585	3042
541	3591	3034
542	3597	3027
543	3603	3020
544	3609	3013
545	3615	3006
546	3621	2999
547	3627	2992
548	3633	2985
549	3642	2979
550	3649	2973
551	3655	2966
552	3661	2959
553	3667	2952
554	3674	2945
555	3681	2939
556	3687	2932
557	3693	2925
558	3699	2918
559	3705	2911
560	3711	2904
561	3720	2899
562	3727	2893
563	3734	2886
564	3741	2880
565	3748	2874
566	3754	2867
567	3762	2861
568	3769	2855
569	3775	2848
570	3781	2841
571	3788	2834
572	3794	2827
573	3800	2820
574	3807	2813
575	3813	2807
576	3819	2799
577	3825	2792
578	3831	2785
579	3837	2778
580	3844	2772
581	3850	2765
582	3856	2758
583	3862	2751
584	3868	2744
585	3874	2737
586	3880	2730
587	3887	2723
588	3893	2716
589	3899	2709
590	3905	2702
591	3911	2695
592	3917	2688
593	3925	2683
594	3933	2677
595	3940	2670
596	3947	2664
597	3953	2657
598	3960	2651
599	3966	2644
600	3972	2637
601	3978	2630
602	3984	2623
603	3991	2616
604	3997	2609
605	4003	2602
606	4009	2595
607	4017	2590
608	4023	2583
609	4029	2576
610	4035	2569
611	4041	2562
612	4048	2556
613	4056	2550
614	4062	2543
615	4069	2536
616	4075	2529
617	4081	2522
618	4087	2515
619	4093	2508
620	4099	2501
621	4105	2494
622	4111	2487
623	4117	2480
624	4123	2473
625	4131	2468
626	4139	2462
627	4146	2455
628	4152	2449
629	4159	2443
630	4166	2436
631	4172	2429
632	4178	2422
633	4184	2415
634	4191	2409
635	4197	2402
636	4204	2395
637	4210	2388
638	4215	2381
639	4221	2374
640	4227	2367
641	4233	2360
642	4239	2353
643	4245	2347
644	4251	2340
645	4257	2333
646	4263	2326
647	4269	2319
648	4275	2312
649	4281	2305
650	4287	2298
651	4293	2291
652	4299	2284
653	4305	2277
654	4310	2270
655	4316	2263
656	4322	2256
657	4328	2249
658	4337	2244
659	4346	2238
660	4352	2231
661	4358	2225
662	4365	2218
663	4370	2211
664	4378	2205
665	4384	2198
666	4390	2191
667	4396	2185
668	4402	2178
669	4408	2171
670	4414	2164
671	4420	2157
672	4427	2151
673	4433	2144
674	4439	2137
675	4445	2130
676	4451	2123
677	4457	2116
678	4463	2110
679	4469	2103
680	4475	2096
681	4481	2089
682	4487	2082
683	4493	2076
684	4499	2069
685	4505	2062
686	4512	2055
687	4518	2048
688	4524	2042
689	4530	2035
690	4537	2029
691	4544	2022
692	4550	2016
693	4557	2009
694	4563	2002
695	4570	1996
696	4576	1989
697	4582	1982
698	4588	1975
699	4594	1969
700	4600	1962
701	4606	1955
702	4614	1949
703	4622	1943
704	4628	1936
705	4634	1930
706	4641	1923
707	4647	1916
708	4653	1910
709	4659	1903
710	4665	1896
711	4671	1889
712	4677	1882
713	4683	1876
714	4690	1869
715	4696	1863
716	4702	1856
717	4708	1849
718	4715	1842
719	4721	1835
720	4727	1829
721	4733	1822
722	4739	1815
723	4746	1809
724	4752	1802
725	4759	1796
726	4765	1789
727	4771	1782
728	4777	1776
729	4783	1769
730	4791	1763
731	4799	1757
732	4805	1750
733	4812	1744
734	4818	1737
735	4825	1730
736	4831	1724
737	4837	1717
738	4844	1710
739	4850	1704
740	4856	1697
741	4862	1690
742	4868	1684
743	4874	1677
744	4880	1670
745	4886	1663
746	4893	1657
747	4899	1650
748	4905	1643
749	4911	1637
750	4917	1630
751	4923	1623
752	4929	1616
753	4935	1610
754	4941	1603
755	4947	1596
756	4953	1590
757	4959	1583
758	4965	1576
759	4971	1569
760	4977	1563
761	4983	1556
762	4992	1550
763	4999	1544
764	5005	1537
765	5011	1531
766	5018	1524
767	5024	1517
768	5030	1511
769	5036	1504
770	5042	1497
771	5048	1490
772	5055	1484
773	5061	1477
774	5068	1471
775	5074	1464
776	5080	1458
777	5086	1451
778	5093	1444
779	5099	1438
780	5106	1431
781	5112	1425
782	5118	1418
783	5124	1411
784	5130	1405
785	5136	1398
786	5142	1391
787	5148	1385
788	5155	1378
789	5161	1371
790	5166	1365
791	5173	1358
792	5179	1351
793	5185	1345
794	5193	1339
795	5202	1333
796	5208	1326
797	5216	1320
798	5222	1313
799	5229	1307
800	5235	1300
801	5241	1294
802	5248	1287
803	5254	1280
804	5260	1274
805	5266	1267
806	5272	1261
807	5278	1254
808	5284	1247
809	5290	1241
810	5297	1234
811	5303	1227
812	5309	1221
813	5315	1214
814	5321	1207
815	5328	1201
816	5334	1194
817	5340	1188
818	5346	1181
819	5352	1174
820	5358	1168
821	5364	1161
822	5370	1155
823	5376	1148
824	5382	1141
825	5389	1135
826	5395	1128
827	5400	1121
828	5409	1115
829	5418	1109
830	5425	1103
831	5431	1096
832	5438	1090
833	5445	1083
834	5451	1077
835	5457	1070
836	5463	1064
837	5469	1057
838	5475	1050
839	5482	1044
840	5488	1037
841	5494	1030
842	5500	1024
843	5506	1017
844	5511	1011
845	5517	1004
846	5523	997
847	5529	991
848	5535	984
849	5542	978
850	5548	971
851	5554	964
852	5561	958
853	5567	951
854	5573	945
855	5580	938
856	5588	932
857	5594	925
858	5600	919
859	5606	912
860	5617	906
861	5624	900
862	5630	893
863	5637	887
864	5644	880
865	5650	874
866	5656	867
867	5663	861
868	5670	854
869	5676	848
870	5682	841
871	5689	835
872	5695	828
873	5701	821
874	5707	815
875	5713	808
876	5718	802
877	5724	795
878	5730	788
879	5737	782
880	5743	775
881	5749	769
882	5756	762
883	5777	758
884	5806	754
885	5831	750
886	5850	745
887	5872	740
888	5892	735
889	5911	730
890	5937	726
891	5951	720
892	5962	714
893	5973	708
894	5981	701
895	5991	695
896	5998	688
897	6004	682
898	6011	675
899	6018	668
900	6024	662
901	6030	655
902	6037	648
903	6043	641
904	6049	634
905	6055	628
906	6061	621
907	6067	614
908	6073	607
909	6079	601
910	6085	594
911	6091	587
912	6099	581
913	6106	574
914	6112	567
915	6118	561
916	6124	554
917	6130	547
918	6136	540
919	6142	534
920	6148	527
921	6154	520
922	6160	513
923	6166	507
924	6172	500
925	6178	493
926	6184	486
927	6200	481
928	6215	475
929	6226	468
930	6236	462
931	6245	455
932	6255	449
933	6264	442
934	6274	436
935	6284	429
936	6293	423
937	6303	416
938	6311	410
939	6319	403
940	6327	396
941	6335	390
942	6343	383
943	6351	376
944	6359	370
945	6367	363
946	6375	356
947	6385	350
948	6395	343
949	6404	337
950	6411	330
951	6419	323
952	6427	317
953	6435	310
954	6443	303
955	6450	296
956	6459	290
957	6467	283
958	6474	276
959	6482	270
960	6491	263
961	6500	256
962	6509	250
963	6518	243
964	6526	236
965	6533	229
966	6540	223
967	6547	216
968	6553	209
969	6560	202
970	6566	196
971	6572	189
972	6579	182
973	6586	175
974	6592	169
975	6600	162
976	6610	155
977	6617	148
978	6624	142
979	6630	135
980	6637	128
981	6644	121
982	6650	115
983	6657	108
984	6664	101
985	6671	94
986	6677	87
987	6683	81
988	6689	74
989	6695	67
990	6701	60
991	6707	54
992	6714	47
993	6720	40
994	6726	33
995	6732	27
996	6739	20
997	6745	13
998	6751	6
999	6757	0
